GENEID	P
MS4A6A	8.81e-35
Y_RNA	2.18e-31
VSIG4	4.04e-29
VENTX	6.6e-26
AP000476.1	5.36e-22
FCGR3A	6.74e-22
C3AR1	1.68e-20
ALOX5AP	1.94e-20
C1QA	1.94e-20
FCGBP	4.4e-20
SCIN	1.26e-19
HCLS1	1.71e-19
RNASE2	6.02e-19
CYBB	8.34e-19
C1QB	1.18e-18
TFEC	1.37e-18
RP11-792D21.2	2.89e-18
RNASE6	3.95e-18
MS4A7	7.21e-18
FCER1G	7.5e-18
MS4A4A	1.13e-17
MSR1	1.14e-17
FCGR2A	1.28e-17
PLAC8	1.65e-17
AC011891.5	2.83e-17
HCST	3.82e-16
CD53	4.06e-16
CD163	4.92e-16
GPR65	6.85e-16
CYTL1	8.84e-16
TLR2	1.45e-15
RN7SKP48	4.93e-15
C1orf162	5.07e-15
HPSE	5.07e-15
RP11-515C16.1	5.3e-15
SERPINA1	5.45e-15
RP11-153M7.1	5.81e-15
LY86	1.04e-14
RNASET2	3.43e-14
SLA	3.43e-14
SPN	3.43e-14
SCUBE1	4.54e-14
RNY3P1	5.45e-14
PCED1B-AS1	5.45e-14
LCP1	5.9e-14
CTSS	6.02e-14
FCGR1A	6.15e-14
HLA-DMB	9.56e-14
VAMP8	1.01e-13
EBI3	1.11e-13
HLA-DMA	1.55e-13
RP11-94L15.2	1.63e-13
CD300A	2.46e-13
SIRPB2	2.5e-13
CD74	5.61e-13
TREM2	5.61e-13
HLA-DPA1	5.91e-13
CLEC5A	8.61e-13
RANBP17	8.85e-13
SIGLEC9	1.83e-12
TLR5	2.12e-12
LST1	2.18e-12
GAPT	2.28e-12
C1QC	2.9e-12
ITGB2	2.9e-12
ADRA2A	3.12e-12
LAIR1	3.15e-12
CD86	3.47e-12
KCTD12	3.63e-12
CTSC	5.05e-12
LHFPL2	5.11e-12
CLEC7A	5.28e-12
GPR34	7.91e-12
AC006129.4	1.07e-11
PIK3AP1	1.11e-11
ABI3	1.28e-11
CD33	1.64e-11
ATP8B4	1.7e-11
SLC1A5	1.92e-11
RP11-317N12.1	1.92e-11
CREB3L1	1.97e-11
SASH3	2.43e-11
ARHGAP15	2.6e-11
GJA1	2.65e-11
IL13RA1	3.02e-11
