GENEID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
ENSG00000110077.10,170.5592304,1.958537744,0.149197652,13.12713513,2.30E-39,8.81E-35,MS4A6A
ENSG00000202357.1,88.59627667,6.148720191,0.493233157,12.46615339,1.14E-35,2.18E-31,Y_RNA
ENSG00000155659.10,225.3117509,1.991696242,0.165844866,12.00939341,3.17E-33,4.04E-29,VSIG4
ENSG00000200314.1,113.2820067,6.698886238,0.573957985,11.67138782,1.78E-31,1.71E-27,Y_RNA
ENSG00000151650.7,11.64252955,1.929445071,0.170193764,11.33675541,8.63E-30,6.60E-26,VENTX
ENSG00000237484.5,9.169812179,1.753938451,0.167001167,10.50255209,8.41E-26,5.36E-22,AP000476.1
ENSG00000203747.5,388.1410106,1.710055899,0.163385903,10.46636133,1.23E-25,6.74E-22,FCGR3A
ENSG00000171860.4,112.1363394,1.144753025,0.112844768,10.14449355,3.51E-24,1.68E-20,C3AR1
ENSG00000132965.5,90.56877774,1.368803793,0.135414808,10.10822828,5.08E-24,1.94E-20,ALOX5AP
ENSG00000173372.12,292.6237789,1.432879301,0.141670122,10.11419545,4.78E-24,1.94E-20,C1QA
ENSG00000090920.9,494.4707763,1.906800764,0.19032763,10.01851788,1.26E-23,4.40E-20,FCGBP
ENSG00000006747.10,179.655483,1.713711435,0.173005838,9.905512191,3.94E-23,1.26E-19,SCIN
ENSG00000180353.6,280.0167695,1.040130193,0.105419058,9.866623815,5.81E-23,1.71E-19,HCLS1
ENSG00000169385.2,11.8612761,2.070156973,0.212718463,9.731910165,2.20E-22,6.02E-19,RNASE2
ENSG00000165168.6,478.9610767,1.053549409,0.108705981,9.691733612,3.27E-22,8.34E-19,CYBB
ENSG00000173369.11,592.6035537,1.498779287,0.155320069,9.649617727,4.93E-22,1.18E-18,C1QB
ENSG00000105967.11,109.6223681,0.899713403,0.093448083,9.627949257,6.09E-22,1.37E-18,TFEC
ENSG00000251442.1,188.8860265,0.990098525,0.103727726,9.545167535,1.36E-21,2.89E-18,RP11-792D21.2
ENSG00000169413.2,41.37817887,1.090436162,0.114699255,9.50691583,1.96E-21,3.95E-18,RNASE6
ENSG00000166927.8,141.8235646,1.040137118,0.110197903,9.438810442,3.77E-21,7.21E-18,MS4A7
ENSG00000158869.6,86.86035659,1.273362381,0.135038797,9.429603978,4.12E-21,7.50E-18,FCER1G
ENSG00000110079.12,50.72331779,1.239665767,0.13213248,9.381991213,6.47E-21,1.13E-17,MS4A4A
ENSG00000038945.10,124.1060376,1.157772202,0.123481186,9.376102021,6.85E-21,1.14E-17,MSR1
ENSG00000143226.9,193.1464058,1.200333852,0.128250581,9.359285872,8.03E-21,1.28E-17,FCGR2A
ENSG00000145287.6,25.76961744,1.790753212,0.191969798,9.328306998,1.08E-20,1.65E-17,PLAC8
ENSG00000229233.1,6.959005709,1.943817763,0.209763965,9.266690585,1.92E-20,2.83E-17,AC011891.5
ENSG00000126264.5,34.01701343,1.175334858,0.130876938,8.980458125,2.70E-19,3.82E-16,HCST
ENSG00000143119.8,313.5531534,0.688231456,0.076728685,8.969676094,2.97E-19,4.06E-16,CD53
ENSG00000177575.8,363.0007412,1.774372511,0.198372308,8.944658278,3.73E-19,4.92E-16,CD163
ENSG00000140030.4,25.23082416,1.091081121,0.122534717,8.904261129,5.37E-19,6.85E-16,GPR65
ENSG00000170891.6,22.27099846,1.077108934,0.121400738,8.872342582,7.16E-19,8.84E-16,CYTL1
ENSG00000137462.6,193.6612462,1.067831717,0.121161799,8.81327058,1.22E-18,1.45E-15,TLR2
ENSG00000201901.1,12.90029744,3.325518783,0.383485514,8.671823738,4.25E-18,4.93E-15,RN7SKP48
ENSG00000143110.7,126.7023117,0.619667953,0.071526917,8.663423171,4.58E-18,5.07E-15,C1orf162
ENSG00000173083.10,59.55382577,0.687930644,0.079419395,8.661998045,4.64E-18,5.07E-15,HPSE
ENSG00000240518.2,2.642207203,1.972484135,0.227933858,8.653756614,4.98E-18,5.30E-15,RP11-515C16.1
ENSG00000197249.8,119.5171122,1.480021656,0.171153995,8.647310038,5.27E-18,5.45E-15,SERPINA1
ENSG00000248208.1,12.58656408,1.4696756,0.170160258,8.637008534,5.77E-18,5.81E-15,RP11-153M7.1
ENSG00000112799.4,56.64414351,0.82755695,0.096589638,8.567761173,1.06E-17,1.04E-14,LY86
ENSG00000026297.11,660.3415935,0.446126968,0.052983729,8.420074954,3.76E-17,3.43E-14,RNASET2
ENSG00000155926.9,243.5382536,0.81375065,0.096628542,8.421431553,3.72E-17,3.43E-14,SLA
ENSG00000197471.7,43.1371375,0.945467375,0.112279546,8.420655511,3.74E-17,3.43E-14,SPN
ENSG00000202536.1,12.6734577,3.004680819,0.357623608,8.401796607,4.40E-17,3.91E-14,Y_RNA
ENSG00000159307.14,47.9589556,-1.03580956,0.123581082,-8.381619157,5.22E-17,4.54E-14,SCUBE1
ENSG00000201955.1,19.17674617,2.696078706,0.322601872,8.357294064,6.42E-17,5.45E-14,RNY3P1
ENSG00000247774.2,43.06432545,0.704805083,0.084359992,8.354731474,6.56E-17,5.45E-14,PCED1B-AS1
ENSG00000136167.9,338.4054097,0.921142826,0.110410915,8.342860158,7.25E-17,5.90E-14,LCP1
ENSG00000163131.6,269.8189435,0.698102386,0.083725159,8.338024035,7.55E-17,6.02E-14,CTSS
ENSG00000150337.9,38.56391014,1.46560125,0.175877725,8.333069176,7.88E-17,6.15E-14,FCGR1A
ENSG00000242574.4,23.34797428,1.1528335,0.139258737,8.278356699,1.25E-16,9.56E-14,HLA-DMB
ENSG00000118640.6,51.73631282,0.952362623,0.115167272,8.269386005,1.35E-16,1.01E-13,VAMP8
ENSG00000105246.5,23.33314017,1.010145697,0.122363453,8.255289252,1.52E-16,1.11E-13,EBI3
ENSG00000204257.10,32.63697132,0.84407114,0.102766275,8.213503341,2.15E-16,1.55E-13,HLA-DMA
ENSG00000264198.1,40.15971662,0.987211568,0.120311109,8.20548969,2.30E-16,1.63E-13,RP11-94L15.2
ENSG00000167851.9,70.04574613,0.999705475,0.122612649,8.153363319,3.54E-16,2.46E-13,CD300A
ENSG00000196209.8,52.29401729,0.921198984,0.113042777,8.1491185,3.67E-16,2.50E-13,SIRPB2
ENSG00000019582.10,1684.151177,0.890271182,0.110667144,8.044584405,8.65E-16,5.61E-13,CD74
ENSG00000095970.12,115.7966139,0.979500638,0.121732433,8.046340768,8.53E-16,5.61E-13,TREM2
ENSG00000201498.1,17.42315994,2.23482358,0.277744597,8.046326026,8.53E-16,5.61E-13,Y_RNA
ENSG00000231389.3,211.9159519,0.957382026,0.119133493,8.036212193,9.27E-16,5.91E-13,HLA-DPA1
ENSG00000258227.2,2.924881819,2.361814998,0.295674066,7.987900436,1.37E-15,8.61E-13,CLEC5A
ENSG00000204764.8,327.2924451,-0.349285858,0.043756716,-7.982451385,1.43E-15,8.85E-13,RANBP17
ENSG00000202137.1,14.74340162,5.728590988,0.725981992,7.890816922,3.00E-15,1.82E-12,Y_RNA
ENSG00000129450.4,40.93374741,1.19955523,0.152065487,7.888412132,3.06E-15,1.83E-12,SIGLEC9
ENSG00000187554.7,71.87303844,0.722186522,0.091789651,7.867842561,3.61E-15,2.12E-12,TLR5
ENSG00000204482.6,19.69975789,1.080350013,0.137405156,7.862514378,3.76E-15,2.18E-12,LST1
ENSG00000175857.4,8.712240911,1.193232554,0.151905279,7.855109196,3.99E-15,2.28E-12,GAPT
ENSG00000159189.7,361.2852072,1.076263289,0.137596106,7.821902224,5.20E-15,2.90E-12,C1QC
ENSG00000160255.12,338.8832247,0.926365525,0.118444936,7.821064856,5.24E-15,2.90E-12,ITGB2
ENSG00000150594.5,141.1190467,-0.535903073,0.068615462,-7.81023776,5.71E-15,3.12E-12,ADRA2A
ENSG00000167613.11,47.88782531,0.972429974,0.12455423,7.807281829,5.84E-15,3.15E-12,LAIR1
ENSG00000114013.11,73.17254885,0.845553229,0.108497952,7.793264429,6.53E-15,3.47E-12,CD86
ENSG00000178695.4,2092.059828,0.431984323,0.055482953,7.785892709,6.92E-15,3.63E-12,KCTD12
ENSG00000109861.11,296.749133,0.507721931,0.065578969,7.742145677,9.78E-15,5.05E-12,CTSC
ENSG00000145685.9,732.1576102,0.439197521,0.056750918,7.739038194,1.00E-14,5.11E-12,LHFPL2
ENSG00000172243.13,112.2935033,0.841509324,0.108818946,7.733114067,1.05E-14,5.28E-12,CLEC7A
ENSG00000171659.9,261.7778249,0.756021912,0.09844061,7.679979955,1.59E-14,7.91E-12,GPR34
ENSG00000270164.1,4.320976179,1.87912187,0.245973198,7.639539126,2.18E-14,1.07E-11,AC006129.4
ENSG00000155629.10,182.5715554,0.789006256,0.103360927,7.633506013,2.28E-14,1.11E-11,PIK3AP1
ENSG00000108798.4,71.17058479,0.715601124,0.093999914,7.612784912,2.68E-14,1.28E-11,ABI3
ENSG00000105383.10,35.59498653,0.761557059,0.10047666,7.579442389,3.47E-14,1.64E-11,CD33
ENSG00000104043.10,367.5317938,0.453076399,0.059829211,7.572829249,3.65E-14,1.70E-11,ATP8B4
ENSG00000105281.8,67.36356827,0.984534088,0.130327503,7.554307888,4.21E-14,1.92E-11,SLC1A5
ENSG00000253642.1,12.65071452,0.79600407,0.10537319,7.554142287,4.22E-14,1.92E-11,RP11-317N12.1
ENSG00000157613.6,49.99683236,-0.622989793,0.082524192,-7.549177758,4.38E-14,1.97E-11,CREB3L1
ENSG00000122122.9,73.75181283,0.728846767,0.096916573,7.520352255,5.46E-14,2.43E-11,SASH3
ENSG00000075884.8,73.33608802,0.502524457,0.066914602,7.509937207,5.92E-14,2.60E-11,ARHGAP15
ENSG00000152661.7,6645.821812,0.534788604,0.071247036,7.506117277,6.09E-14,2.65E-11,GJA1
ENSG00000131724.6,437.8926466,0.574462391,0.07672189,7.487594343,7.01E-14,3.02E-11,IL13RA1
ENSG00000147535.12,470.9573424,0.213263498,0.028613912,7.453140174,9.11E-14,3.87E-11,PPAPDC1B
ENSG00000069535.12,1481.444144,0.360444811,0.048393305,7.448237157,9.46E-14,3.98E-11,MAOB
ENSG00000205403.8,72.7371832,0.897376852,0.120824231,7.42712653,1.11E-13,4.62E-11,CFI
ENSG00000174125.3,150.3610873,0.656454922,0.08841269,7.424894769,1.13E-13,4.64E-11,TLR1
ENSG00000141582.10,397.9933354,-0.268968234,0.036266425,-7.416452951,1.20E-13,4.90E-11,CBX4
