HEIGHT(control)	P
SAMD11	0.002373
NOC2L	0.00020964
KLHL17	0.051698
PLEKHN1	0.52237
PERM1	3.01E-07
ISG15	0.94422
AGRN	1.28E-15
C1orf159	4.05E-07
TTLL10	0.0092028
TNFRSF18	0.009984
TNFRSF4	0.019077
SDF4	0.00012964
C1QTNF12	0.019628
UBE2J2	5.52E-05
SCNN1D	0.05262
ACAP3	4.49E-06
INTS11	9.06E-06
DVL1	0.00015145
MXRA8	1.41E-09
CCNL2	5.00E-10
MRPL20	0.0013421
ANKRD65	0.044859
ATAD3C	0.1106
ATAD3B	0.0090248
ATAD3A	0.035906
TMEM240	1.87E-06
SSU72	2.51E-08
FNDC10	0.00014784
SLC35E2B	0.17524
CDK11A	0.6647
SLC35E2A	0.064276
NADK	0.00094238
GNB1	0.00032491
CALML6	0.0024385
CFAP74	0.00096172
GABRD	0.85167
PRKCZ	3.43E-14
PRKCZ-AS1	5.00E-10
FAAP20	5.00E-10
SKI	3.21E-14
MORN1	2.01E-12
RER1	0.00028051
PEX10	0.14437
PLCH2	0.24644
PANK4	0.0083132
PRXL2B	0.03606
MMEL1	0.12618
TTC34	0.0018323
ACTRT2	0.002863
PRDM16	2.21E-16
ARHGEF16	0.011236
MEGF6	0.0031435
TPRG1L	0.051786
WRAP73	0.00010275
TP73	0.00089833
CCDC27	0.09281
SMIM1	0.0028071
LRRC47	0.00014436
CEP104	2.37E-06
DFFB	0.00065291
C1orf174	0.023768
AJAP1	0.37561
NPHP4	0.036593
KCNAB2	0.14317
CHD5	0.73167
RPL22	0.083274
RNF207	0.00083878
ICMT	0.00013105
HES3	8.48E-05
GPR153	0.007086
ACOT7	0.0001135
HES2	0.0056108
ESPN	0.00079816
TNFRSF25	0.059125
PLEKHG5	5.60E-10
NOL9	5.26E-16
TAS1R1	1.31E-14
ZBTB48	5.97E-07
KLHL21	1.22E-05
PHF13	3.63E-06
THAP3	0.00042985
DNAJC11	3.85E-06
CAMTA1	5.88E-13
VAMP3	1.63E-11
PER3	1.12E-16
UTS2	4.58E-05
TNFRSF9	0.00017328
PARK7	2.74E-16
ERRFI1	5.00E-10
SLC45A1	2.67E-13
RERE	1.22E-14
ENO1	0.022875
CA6	0.051684
SLC2A7	0.019784
SLC2A5	0.32985
GPR157	0.0079124
H6PD	5.00E-10
SPSB1	5.00E-10
SLC25A33	7.02E-07
TMEM201	0.0013006
PIK3CD	5.19E-10
CLSTN1	0.0212
CTNNBIP1	0.19726
LZIC	5.48E-09
