GENEID	BD_ATAC
LINC02564	0.68109538
LOC102725121	0.628567413
DDX11L5	0.476199326
FAM110C	3.26e-7
ZNF718	0.178141271
DDX11L10	1.72e-5
TUBB8P12	0.365975671
PGM5P3-AS1	0.363886537
WASIR2	0.10197331
DEFB125	6.7e-10
POLR3K	0.394437262
SNRNP25	5.3e-8
ROCK1P1	0.057235781
FOXD4	0.196091333
RHBDF1	2.53358e-4
MPG	8.05e-7
LINC01986	2.65183e-4
PLEKHG4B	1.45e-5
IQSEC3	4.68e-5
LOC102723672	5.40775e-4
LOC100507642	0.06118377
USP14	1.37e-5
LOC105375115	0.010083671
CBWD1	3.25e-5
RPL23AP53	3.05e-5
NPRL3	1.19e-6
LRRC14B	2.34e-7
SCGB1C1	0.014143253
FAM20C	2.08e-6
ODF3	0.481880584
HBZ	0.002160316
CCDC127	0.198276436
RIC8A	1.1e-6
MIR6743	4.03e-5
SDHA	3.28e-5
HBM	0.244923895
LOC285766	0.002859273
HBA1	0.047490826
HBQ1	6.91e-5
SIRT3	7.28e-6
CHL1	4.6e-8
CHL1-AS2	1.03e-8
SH3YL1	4.34e-5
DEFB132	5.25e-7
PSMD13	0.018808585
ZNF596	0.001295468
DUSP22	1.22e-6
PLPP2	9.25e-6
C20orf96	8.46506e-4
HRAT5	4.2e-6
LUC7L	1.46e-5
NLRP6	6.68615e-4
PDCD6	0.182519287
LOC574538	5.58e-5
FAM234A	2.61e-7
LOC101929384	9.74e-7
PGGHG	0.013058364
ALKAL2	2.3e-5
ZCCHC3	9.39e-7
IFITM5	0.915702413
NRSN2-AS1	1.33e-7
SOX12	3.1e-8
IFITM2	0.018749113
LOC442497	1.57e-5
FAM87A	1.63e-5
IFITM1	0.139629674
AHRR	3.15e-6
RGS11	1.75e-5
NRSN2	2.93e-10
ARHGDIG	0.001522988
IFITM3	0.011523585
SLC6A12	9.83e-6
MIER2	3.42e-5
DOCK8	7.27555e-4
FBXO25	2.95e-6
PDIA2	0.002346904
TRIB3	1.81614e-4
LOC102723544	0.028632851
THEG	1.02e-5
B4GALNT4	1.63e-5
THOC1	2.22e-7
SLC6A13	2.63e-5
RBCK1	1.36e-7
LINC01865	2.43e-7
COLEC12	7.29e-6
RFLNB	0.050672217
PKP3	1.71103e-4
AXIN1	4.57e-8
ZMYND11	5e-6
SIGIRR	0.001620659
C2CD4C	1.63517e-4
CHL1-AS1	4.82e-7
MRPL28	4.84e-9
TMEM8A	1.26e-6
KDM5A	0.387882344
LOC100134368	3.86e-5
EXOC3-AS1	2.6e-6
TBC1D20	4.44e-6
LINC01874	2.44e-7
NME4	0.04025254
EXOC3	0.002774576
PTDSS2	2.57e-6
DECR2	1.3e-6
SHC2	2.53e-6
PP7080	0.644777388
SLC9A3-AS1	4.35e-6
RAB11FIP3	8.04e-9
ODF3L2	1.3362e-4
MADCAM1	7.8e-6
TDRP	6.81e-8
IRF4	3.87977e-4
SLC9A3	0.012111673
CCDC77	1.16e-7
TPGS1	4.09e-8
RNH1	6.6e-6
LINC01925	8.18e-6
CSNK2A1	1.33079e-4
PIGG	3.68238e-4
CDC34	4.68e-7
HRAS	8.29e-8
LRRC56	3.56e-6
GZMM	0.004125327
HUS1B	3.48e-6
LINC01875	0.072158635
TMEM271	1.69e-6
LOC692247	7.54e-7
LOC101930421	7.82e-7
PDGFA	5.34e-6
RASSF7	2.99e-7
LOC105373352	4.61e-5
HRAT92	0.02572416
MIR210HG	1.02e-7
MIR4456	9.21189e-4
B4GALNT3	2.31e-6
LOC105374338	1.63e-8
BSG	3.66e-6
LINC00235	4.87e-5
PHRF1	1.29e-5
CAPN15	8.55e-7
CETN1	9.72e-5
HCN2	2.15418e-4
TCF15	0.799455562
PDE6B	0.031417519
CLUL1	2.5e-7
MIR3176	0.001209584
