GENE	P
SAMD11	0.46305
NOC2L	0.94153
KLHL17	0.883
PLEKHN1	0.41345
PERM1	0.13184
HES4	0.016022
ISG15	0.11339
AGRN	0.068169
RNF223	0.031575
C1orf159	0.060639
TTLL10	0.35903
TNFRSF18	0.12882
TNFRSF4	0.031458
SDF4	0.0034405
B3GALT6	0.31908
C1QTNF12	0.021279
UBE2J2	0.67849
SCNN1D	0.38045
ACAP3	0.60819
PUSL1	0.55093
INTS11	0.47029
CPTP	0.26141
TAS1R3	0.26664
DVL1	0.28949
MXRA8	0.57092
AURKAIP1	0.35566
CCNL2	0.11513
MRPL20	0.24124
ANKRD65	0.42113
TMEM88B	0.74599
VWA1	0.57721
ATAD3C	0.88578
ATAD3B	0.43554
ATAD3A	0.93067
TMEM240	0.24778
SSU72	0.99535
FNDC10	0.0063431
MIB2	0.0012741
MMP23B	0.012645
CDK11B	0.13598
SLC35E2B	7.581e-4
CDK11A	0.10169
SLC35E2A	0.0034564
NADK	0.0089195
GNB1	0.029603
CALML6	0.0148
TMEM52	0.11411
CFAP74	0.14358
GABRD	0.8674
PRKCZ	0.013772
PRKCZ-AS1	0.013187
FAAP20	0.018113
SKI	0.09568
MORN1	0.88131
RER1	0.58636
PEX10	0.27098
PLCH2	0.13677
PANK4	0.012234
HES5	0.65116
TNFRSF14	4.9406e-4
PRXL2B	5.7797e-4
MMEL1	1.7226e-4
TTC34	7.5579e-4
ACTRT2	0.48535
PRDM16	0.12915
ARHGEF16	0.28501
MEGF6	0.86213
TPRG1L	0.61596
WRAP73	0.49299
TP73	0.39645
CCDC27	0.28163
SMIM1	0.38261
LRRC47	0.33329
CEP104	0.35962
DFFB	0.87337
C1orf174	0.6308
AJAP1	0.02806
NPHP4	0.17632
KCNAB2	0.60593
CHD5	0.84376
RPL22	0.38111
RNF207	0.78754
ICMT	0.43242
HES3	0.98782
GPR153	0.43888
ACOT7	0.11056
HES2	0.45304
ESPN	0.41318
TNFRSF25	0.22279
PLEKHG5	0.055143
NOL9	0.50474
TAS1R1	0.24073
ZBTB48	0.33738
KLHL21	0.43193
PHF13	0.23554
THAP3	0.1818
DNAJC11	0.026066
CAMTA1	0.0012104
VAMP3	0.69617
PER3	0.91902
UTS2	0.76555
TNFRSF9	0.54258
PARK7	0.1514
ERRFI1	0.22265
SLC45A1	0.35009
RERE	0.69927
ENO1	0.62242
CA6	0.69636
SLC2A7	0.41081
SLC2A5	0.16807
GPR157	0.8649
H6PD	0.085744
SPSB1	0.69058
SLC25A33	0.83583
TMEM201	0.7791
PIK3CD	0.81919
CLSTN1	0.13792
CTNNBIP1	0.035701
LZIC	0.020386
NMNAT1	0.021706
RBP7	0.22506
UBE4B	0.31048
KIF1B	0.10127
PGD	0.033068
CENPS	0.66663
CENPS-CORT	0.61935
CORT	0.41318
DFFA	0.31388
PEX14	0.26059
CASZ1	0.61297
C1orf127	0.37743
TARDBP	0.14069
MASP2	0.2195
SRM	0.6532
EXOSC10	0.84198
MTOR	0.64317
ANGPTL7	0.42515
