GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
SAMD11	1	859993	879961	47	10	364270	0.092751	0.46305
NOC2L	1	879583	894679	50	8	362015	-1.5678	0.94153
KLHL17	1	895967	901099	16	3	386252	-1.1901	0.883
PLEKHN1	1	901872	910488	25	11	370454	0.21867	0.41345
PERM1	1	910579	917473	22	5	379996	1.1177	0.13184
HES4	1	934342	936608	12	3	395325	2.1439	0.016022
ISG15	1	948847	949920	5	1	362782	1.2087	0.11339
AGRN	1	955503	991499	90	10	379918	1.4896	0.068169
RNF223	1	1007126	1009687	6	2	371946	1.8581	0.031575
C1orf159	1	1017198	1051736	109	13	384004	1.5494	0.060639
TTLL10	1	1109286	1133315	135	18	390461	0.36106	0.35903
TNFRSF18	1	1138888	1142163	10	2	366049	1.132	0.12882
TNFRSF4	1	1146706	1149703	8	3	399629	1.8598	0.031458
SDF4	1	1152288	1167447	93	6	380191	2.7025	0.0034405
B3GALT6	1	1167629	1170421	7	2	369069	0.47027	0.31908
C1QTNF12	1	1177826	1182102	13	3	352293	2.028	0.021279
UBE2J2	1	1189292	1209234	47	7	367066	-0.46348	0.67849
SCNN1D	1	1215816	1227409	40	13	361957	0.30431	0.38045
ACAP3	1	1227764	1243304	41	8	391384	-0.27461	0.60819
PUSL1	1	1243962	1247057	5	3	364437	-0.12801	0.55093
INTS11	1	1246965	1260067	19	5	382002	0.074551	0.47029
CPTP	1	1260136	1264276	11	2	369165	0.63901	0.26141
TAS1R3	1	1266726	1269844	7	3	402715	0.62301	0.26664
DVL1	1	1270658	1284509	40	9	378118	0.55487	0.28949
MXRA8	1	1288071	1297183	27	5	372581	-0.17873	0.57092
AURKAIP1	1	1309110	1310818	7	3	398469	0.37008	0.35566
CCNL2	1	1321091	1334718	19	8	383246	1.1997	0.11513
MRPL20	1	1337276	1342693	12	5	386370	0.70231	0.24124
ANKRD65	1	1353800	1356824	6	2	330701	0.199	0.42113
TMEM88B	1	1361508	1363167	7	3	403424	-0.66191	0.74599
VWA1	1	1370903	1378262	17	4	388129	-0.19475	0.57721
ATAD3C	1	1378152	1405538	51	9	369766	-1.2044	0.88578
ATAD3B	1	1407139	1444852	43	13	370131	0.1623	0.43554
ATAD3A	1	1447523	1470067	63	11	364441	-1.4808	0.93067
TMEM240	1	1470158	1475740	8	3	400712	0.68149	0.24778
SSU72	1	1477053	1510262	93	11	398471	-2.6008	0.99535
FNDC10	1	1533388	1535476	2	1	406436	2.4925	0.0063431
MIB2	1	1550795	1565990	37	8	393354	3.0176	0.0012741
MMP23B	1	1567060	1570030	2	1	408534	2.237	0.012645
CDK11B	1	1571100	1590473	18	3	393313	1.0985	0.13598
SLC35E2B	1	1591486	1624243	55	12	387612	3.1716	0.0007581
CDK11A	1	1633822	1655999	40	3	342315	1.272	0.10169
SLC35E2A	1	1656277	1677438	30	7	376298	2.701	0.0034564
NADK	1	1682671	1711508	69	9	396848	2.3689	0.0089195
GNB1	1	1716725	1822552	143	19	391476	1.8867	0.029603
CALML6	1	1846266	1848733	10	3	392986	2.1754	0.0148
TMEM52	1	1849029	1850740	6	2	376544	1.205	0.11411
CFAP74	1	1853390	1935276	308	24	391237	1.0644	0.14358
GABRD	1	1950768	1962192	29	7	382373	-1.1142	0.8674
PRKCZ	1	1981909	2116834	382	27	388011	2.2037	0.013772
PRKCZ-AS1	1	2113250	2115812	4	2	326391	2.2207	0.013187
FAAP20	1	2115899	2144159	48	10	380548	2.0944	0.018113
SKI	1	2160134	2241652	225	39	395119	1.3066	0.09568
MORN1	1	2251719	2323190	298	36	394056	-1.1816	0.88131
