GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
SAMD11	1	859993	879961	6	3	1081154	2.8238	0.002373
NOC2L	1	879583	894679	11	4	1319273	3.5276	0.00020964
KLHL17	1	895967	901099	1	1	1355298	1.6286	0.051698
PLEKHN1	1	901872	910488	6	3	1083431	-0.056091	0.52237
PERM1	1	910579	917473	1	1	1421840	4.9907	3.0082e-07
ISG15	1	948847	949920	1	1	1366694	-1.5912	0.94422
AGRN	1	955503	991499	10	4	1322421	7.9111	1.2757e-15
C1orf159	1	1017198	1051736	14	4	1518637	4.9329	4.0518e-07
TTLL10	1	1109286	1133315	12	4	1429747	2.3574	0.0092028
TNFRSF18	1	1138888	1142163	4	2	1506945	2.3269	0.009984
TNFRSF4	1	1146706	1149703	3	2	821856	2.0732	0.019077
SDF4	1	1152288	1167447	8	3	1373031	3.6529	0.00012964
C1QTNF12	1	1177826	1182102	2	1	1530351	2.0615	0.019628
UBE2J2	1	1189292	1209234	10	4	1563317	3.8666	5.5171e-05
SCNN1D	1	1215816	1227409	6	2	1347784	1.62	0.05262
ACAP3	1	1227764	1243304	16	5	1399807	4.4404	4.4903e-06
INTS11	1	1246965	1260067	7	2	1473331	4.2868	9.0635e-06
DVL1	1	1270658	1284509	3	2	1155235	3.6128	0.00015145
MXRA8	1	1288071	1297183	3	1	1539137	5.942	1.408e-09
CCNL2	1	1321091	1334718	2	1	1110954	6.1094	5e-10
MRPL20	1	1337276	1342693	2	1	1382758	3.0018	0.0013421
ANKRD65	1	1353800	1356824	1	1	1558748	1.6969	0.044859
ATAD3C	1	1378152	1405538	2	1	751767	1.2233	0.1106
ATAD3B	1	1407139	1444852	1	1	721869	2.3646	0.0090248
ATAD3A	1	1447523	1470067	6	1	1531963	1.8003	0.035906
TMEM240	1	1470158	1475740	2	1	1235875	4.6251	1.8721e-06
SSU72	1	1477053	1510262	17	3	1450448	5.4506	2.5095e-08
FNDC10	1	1533388	1535476	2	1	951575	3.6191	0.00014784
SLC35E2B	1	1591486	1624243	1	1	664631	0.93365	0.17524
CDK11A	1	1633822	1655999	1	1	724689	-0.42533	0.6647
SLC35E2A	1	1656277	1677438	1	1	1157928	1.5198	0.064276
NADK	1	1682671	1711508	13	3	1408851	3.1078	0.00094238
GNB1	1	1716725	1822552	35	7	1462244	3.4099	0.00032491
CALML6	1	1846266	1848733	5	2	1569007	2.815	0.0024385
CFAP74	1	1853390	1935276	18	5	1460541	3.1018	0.00096172
GABRD	1	1950768	1962192	4	1	1463182	-1.0436	0.85167
PRKCZ	1	1981909	2116834	66	8	1553522	7.4905	3.4303e-14
PRKCZ-AS1	1	2113250	2115812	2	1	1560813	6.1094	5e-10
FAAP20	1	2115899	2144159	6	2	1525499	6.1094	5e-10
SKI	1	2160134	2241652	35	12	1475234	7.4991	3.2138e-14
MORN1	1	2251719	2323190	35	10	1486683	6.9367	2.0074e-12
RER1	1	2323214	2336883	12	3	1513777	3.4498	0.00028051
PEX10	1	2336241	2344010	3	1	1529692	1.0609	0.14437
PLCH2	1	2407754	2436964	13	4	1424215	0.68575	0.24644
PANK4	1	2439975	2458061	13	4	1445172	2.3949	0.0083132
PRXL2B	1	2517899	2522908	2	1	1454237	1.7984	0.03606
MMEL1	1	2522078	2564499	24	2	1560355	1.1446	0.12618
TTC34	1	2572807	2706230	3	1	1582764	2.9057	0.0018323
ACTRT2	1	2938046	2939467	2	1	1560966	2.7631	0.002863
PRDM16	1	2985565	3355185	213	69	1456647	8.1266	2.2077e-16
ARHGEF16	1	3371147	3397677	9	2	1526999	2.2823	0.011236
MEGF6	1	3404506	3528059	51	20	1369657	2.7324	0.0031435
TPRG1L	1	3541556	3546695	5	2	1502819	1.6278	0.051786
WRAP73	1	3547331	3566671	7	4	1415378	3.7122	0.00010275
TP73	1	3569129	3652765	45	18	1442176	3.1219	0.00089833
CCDC27	1	3668965	3688209	11	6	1397311	1.3236	0.09281
SMIM1	1	3689352	3692546	2	1	1583683	2.7695	0.0028071
LRRC47	1	3696784	3713068	11	5	1505426	3.6252	0.00014436
CEP104	1	3728645	3773797	38	7	1456606	4.5763	2.3668e-06
DFFB	1	3773845	3801993	9	4	1363559	3.2147	0.00065291
