PANEL,FILE,GENE,CHR,P0,P1,HSQ,BEST.GWAS.ID,BEST.GWAS.Z,EQTL.ID,EQTL.R2,EQTL.Z,EQTL.GWAS.Z,NSNP,NWGT,MODEL,MODELCV.R2,MODELCV.PV,TWAS.Z,TWAS.P,PERM.PV,PERM.N,PERM.ANL_PV
NA,/home/CMC.BRAIN.RNASEQ/CMC.FOXD4.wgt.RDat,FOXD4,9,116230,118417,0.1343,rs17664774,2.81,rs10964703,0.043359,5.99,0.498,386,6,lasso,0.05,9.90E-07,-0.1821,0.856,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.CBWD1.wgt.RDat,CBWD1,9,121037,179075,0.39,rs17664774,2.81,rs2992854,0.39323,13.38,-0.136,450,450,bslmm,0.4,1.30E-52,-0.1969,0.844,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.DOCK8.wgt.RDat,DOCK8,9,214864,465259,0.0608,rs4742450,-3.24,rs636922,0.033749,4.84,-1.233,683,4,lasso,0.043,5.30E-06,-1.5589,0.119,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.KANK1.wgt.RDat,KANK1,9,470293,746106,0.0793,rs4742450,-3.24,rs16924533,0.001358,-3.81,-1.215,894,894,bslmm,0.012,0.01,1.6571,0.0975,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.FLJ35024.wgt.RDat,FLJ35024,9,2422701,2622373,0.2026,rs7031607,3.12,rs475384,0.16803,8.9,-0.709,905,4,lasso,0.17,3.80E-20,-0.5377,0.591,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.KCNV2.wgt.RDat,KCNV2,9,2717525,2730037,0.1088,rs7031607,3.12,rs4741767,0.033428,-4.79,-1.082,718,1,top1,0.033,5.50E-05,1.082,0.279,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.SLC1A1.wgt.RDat,SLC1A1,9,4490426,4587469,0.2465,rs7848725,3.95,rs4740788,0.090932,7.74,-0.66,840,840,bslmm,0.2,2.50E-24,-1.7598,0.0784,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.AK3.wgt.RDat,AK3,9,4709556,4742043,0.2656,rs7848725,3.95,rs12352353,0.057265,6.02,-0.102,656,36,enet,0.098,6.00E-12,0.2136,0.831,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.RCL1.wgt.RDat,RCL1,9,4792833,4861064,0.0981,rs7848725,3.95,rs12554461,0.067164,5.79,0.811,632,1,top1,0.067,1.40E-08,0.811,0.417,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.JAK2.wgt.RDat,JAK2,9,4985085,5128183,0.0879,rs7848725,3.95,rs295258,0.016511,-4.96,0.505,629,5,lasso,0.031,1.00E-04,-0.36,0.719,0,0,0
